"Freq [GHz]","Q_circular []"
124.38,11.5629227062797
124.8775,11.5826304290409
125.375,11.6023166581262
125.8725,11.6219813393861
126.37,11.6416244121758
126.8675,11.6612458095806
127.365,11.6808454586375
127.8625,11.7004232805492
128.36,11.7199791908934
128.8575,11.739513099829
129.355,11.7590249122943
129.8525,11.7785145282022
130.35,11.797981842631
130.8475,11.8174267460091
131.345,11.8368491242953
131.8425,11.8562488591574
132.34,11.8756258281411
132.8375,11.8949799048403
133.335,11.9143109590587
133.8325,11.93361885697
134.33,11.9529034612739
134.8275,11.9721646313458
135.325,11.9914022233853
135.8225,12.010616090561
136.32,12.0298060831479
136.8175,12.0489720486668
137.315,12.0681138320146
137.8125,12.087231275596
138.31,12.1063242194481
138.8075,12.1253925013636
139.305,12.1444359570107
139.8025,12.163454420049
140.3,12.1824477222431
140.7975,12.2014156935729
141.295,12.2203581623401
141.7925,12.2392749552744
142.29,12.2581658976331
142.7875,12.2770308133016
143.285,12.2958695248887
143.7825,12.3146818538199
144.28,12.3334676204295
144.7775,12.352226644048
145.275,12.3709587430884
145.7725,12.3896637351299
146.27,12.4083414369989
146.7675,12.4269916648481
147.265,12.4456142342337
147.7625,12.4642089601894
148.26,12.482775657298
148.7575,12.501314139764
149.255,12.5198242214791
149.7525,12.5383057160911
150.25,12.5567584370658
150.7475,12.5751821977514
151.245,12.5935768114386
151.7425,12.6119420914182
152.24,12.6302778510405
152.7375,12.6485839037674
153.235,12.6668600632289
153.7325,12.6851061432743
154.23,12.7033219580219
154.7275,12.7215073219072
155.225,12.7396620497329
155.7225,12.7577859567118
156.22,12.7758788585125
156.7175,12.7939405713025
157.215,12.8119709117891
157.7125,12.8299696972595
158.21,12.847936745621
158.7075,12.8658718754369
159.205,12.8837749059632
159.7025,12.901645657185
160.2,12.9194839498487
160.6975,12.9372896054959
161.195,12.9550624464945
161.6925,12.9728022960692
162.19,12.9905089783306
162.6875,13.0081823183049
163.185,13.0258221419595
163.6825,13.0434282762307
164.18,13.0610005490481
164.6775,13.0785387893591
165.175,13.0960428271536
165.6725,13.1135124934847
166.17,13.1309476204918
166.6675,13.1483480414207
167.165,13.1657135906436
167.6625,13.1830441036785
168.16,13.2003394172081
168.6575,13.2175993690956
169.155,13.2348237984039
169.6525,13.2520125454096
170.15,13.2691654516199
170.6475,13.2862823597857
171.145,13.3033631139176
171.6425,13.3204075592973
172.14,13.3374155424911
172.6375,13.3543869113623
173.135,13.3713215150821
173.6325,13.3882192041403
174.13,13.4050798303561
174.6275,13.421903246887
175.125,13.4386893082385
175.6225,13.4554378702732
176.12,13.4721487902171
176.6175,13.488821926669
177.115,13.5054571396064
177.6125,13.5220542903926
178.11,13.5386132417825
178.6075,13.5551338579283
179.105,13.5716160043849
179.6025,13.5880595481146
180.1,13.6044643574912
180.5975,13.6208303023038
181.095,13.6371572537607
181.5925,13.6534450844927
182.09,13.6696936685554
182.5875,13.6859028814312
183.085,13.7020726000326
183.5825,13.7182027027028
184.08,13.7342930692179
184.5775,13.7503435807866
185.075,13.7663541200522
185.5725,13.7823245710929
186.07,13.7982548194206
186.5675,13.8141447519825
187.065,13.8299942571595
187.5625,13.8458032247655
188.06,13.8615715460467
188.5575,13.8772991136801
189.055,13.8929858217723
189.5525,13.9086315658572
190.05,13.9242362428947
190.5475,13.9397997512671
191.045,13.955321990779
191.5425,13.970802862652
192.04,13.9862422695231
192.5375,14.0016401154423
193.035,14.016996305868
193.5325,14.0323107476637
194.03,14.0475833490952
194.5275,14.0628140198262
195.025,14.0780026709141
195.5225,14.0931492148063
196.02,14.1082535653352
196.5175,14.1233156377146
197.015,14.1383353485344
197.5125,14.1533126157556
198.01,14.168247358706
198.5075,14.1831394980754
199.005,14.1979889559088
199.5025,14.2127956556029
200,14.2275595218998
