"Freq [GHz]","Q_square []"
64.68,9.41120926885134
65.1775,9.43837782603535
65.675,9.46542109857291
66.1725,9.49234317497373
66.67,9.51914802816208
67.1675,9.54583951738912
67.665,9.57242139017843
68.1625,9.59889728429348
68.66,9.62527072973358
69.1575,9.65154515073689
69.655,9.67772386780205
70.1525,9.70381009971187
70.65,9.72980696556245
71.1475,9.75571748679092
71.645,9.78154458920167
72.1425,9.80729110497916
72.64,9.83295977470082
73.1375,9.85855324932844
73.635,9.88407409219161
74.1325,9.9095247809506
74.63,9.93490770954359
75.1275,9.96022519011181
75.625,9.9854794549042
76.1225,10.0106726581583
76.62,10.0358068779571
77.1175,10.0608841180614
77.615,10.0859063097152
78.1125,10.1108753134234
78.61,10.1357929207035
79.1075,10.1606608558071
79.605,10.1854807774143
80.1025,10.210254280298
80.6,10.2349828969578
81.0975,10.259668099226
81.595,10.2843112998418
82.0925,10.3089138539969
82.59,10.3334770608489
83.0875,10.3580021650087
83.585,10.3824903579917
84.0825,10.4069427796448
84.58,10.4313605195396
85.0775,10.455744618338
85.575,10.4800960691287
86.0725,10.5044158187318
86.57,10.5287047689774
87.0675,10.5529637779547
87.565,10.5771936612329
88.0625,10.6013951930508
88.56,10.6255691074872
89.0575,10.6497160995942
89.555,10.6738368265102
90.0525,10.6979319085444
90.55,10.7220019302358
91.0475,10.7460474413858
91.545,10.7700689580667
92.0425,10.7940669636039
92.54,10.8180419095377
93.0375,10.8419942165561
93.535,10.8659242754073
94.0325,10.8898324477899
94.53,10.9137190672189
95.0275,10.9375844398699
95.525,10.9614288454033
96.0225,10.9852525377662
96.52,11.0090557459734
97.0175,11.0328386748689
97.515,11.0566015058674
98.0125,11.0803443976763
98.51,11.1040674870009
99.0075,11.1277708892261
99.505,11.1514546990856
100.0025,11.1751189913109
100.5,11.1987638212623
100.9975,11.2223892255452
101.495,11.2459952226093
101.9925,11.2695818133295
102.49,11.2931489815756
102.9875,11.3166966947624
103.485,11.3402249043888
103.9825,11.3637335465587
104.48,11.3872225424903
104.9775,11.4106917990112
105.475,11.4341412090391
105.9725,11.4575706520513
106.47,11.4809799945378
106.9675,11.5043690904479
107.465,11.5277377816183
107.9625,11.5510858981929
108.46,11.5744132590326
108.9575,11.5977196721082
109.455,11.6210049348901
109.9525,11.6442688347198
110.45,11.6675111491775
110.9475,11.6907316464343
111.445,11.7139300855989
111.9425,11.7371062170533
112.44,11.7602597827761
112.9375,11.7833905166632
113.435,11.8064981448339
113.9325,11.8295823859315
114.43,11.8526429514137
114.9275,11.8756795458384
115.425,11.8986918671366
115.9225,11.921679606882
116.42,11.9446424505512
116.9175,11.9675800777758
117.415,11.9904921625908
117.9125,12.0133783736714
118.41,12.0362383745684
118.9075,12.0590718239315
119.405,12.0818783757326
119.9025,12.104657679477
120.4,12.1274093804121
120.8975,12.1501331197299
121.395,12.1728285347637
121.8925,12.1954952591778
122.39,12.2181329231549
122.8875,12.2407411535754
123.385,12.2633195741945
123.8825,12.285867805811
124.38,12.3083854664339
124.8775,12.3308721714444
125.375,12.3533275337528
125.8725,12.3757511639493
126.37,12.3981426704539
126.8675,12.4205016596606
127.365,12.4428277360765
127.8625,12.4651205024587
128.36,12.4873795599462
128.8575,12.5096045081902
129.355,12.5317949454772
129.8525,12.5539504688527
130.35,12.576070674238
130.8475,12.5981551565476
131.345,12.6202035097975
131.8425,12.6422153272177
132.34,12.6641902013563
132.8375,12.6861277241828
133.335,12.7080274871873
133.8325,12.7298890814792
134.33,12.7517120978814
134.8275,12.7734961270213
135.325,12.795240759422
135.8225,12.8169455855875
136.32,12.8386101960889
136.8175,12.8602341816459
137.315,12.8818171332069
137.8125,12.9033586420268
138.31,12.9248582997431
138.8075,12.946315698449
139.305,12.9677304307651
139.8025,12.9891020899095
140.3,13.0104302697646
140.7975,13.0317145649439
141.295,13.0529545708555
141.7925,13.0741498837642
142.29,13.0953001008531
142.7875,13.1164048202811
143.285,13.1374636412413
143.7825,13.1584761640166
144.28,13.1794419900328
144.7775,13.2003607219128
145.275,13.2212319635274
145.7725,13.2420553200442
146.27,13.2628303979779
146.7675,13.2835568052352
147.265,13.3042341511633
147.7625,13.3248620465921
148.26,13.3454401038789
148.7575,13.3659679369501
149.255,13.3864451613425
149.7525,13.4068713942432
150.25,13.4272462545283
150.7475,13.4475693628001
151.245,13.4678403414247
151.7425,13.4880588145672
152.24,13.5082244082256
152.7375,13.5283367502665
153.235,13.5483954704554
153.7325,13.5684002004908
154.23,13.5883505740333
154.7275,13.6082462267371
155.225,13.6280867962783
155.7225,13.6478719223834
156.22,13.667601246858
156.7175,13.6872744136123
157.215,13.7068910686878
157.7125,13.7264508602822
158.21,13.745953438775
158.7075,13.7653984567501
159.205,13.7847855690194
159.7025,13.8041144326463
160.2,13.8233847069667
160.6975,13.8425960536095
161.195,13.8617481365187
161.6925,13.8808406219731
162.19,13.8998731786041
162.6875,13.9188454774167
163.185,13.9377571918069
163.6825,13.9566079975784
164.18,13.9753975729617
164.6775,13.9941255986287
165.175,14.0127917577099
165.6725,14.0313957358105
166.17,14.0499372210242
166.6675,14.0684159039485
167.165,14.0868314776991
167.6625,14.1051836379231
168.16,14.1234720828118
168.6575,14.1416965131154
169.155,14.1598566321527
169.6525,14.1779521458254
170.15,14.1959827626275
170.6475,14.2139481936584
171.145,14.2318481526323
171.6425,14.2496823558884
172.14,14.2674505224025
172.6375,14.2851523737943
173.135,14.3027876343376
173.6325,14.3203560309703
174.13,14.3378572933005
174.6275,14.3552911536171
175.125,14.3726573468947
175.6225,14.3899556108047
176.12,14.4071856857192
176.6175,14.4243473147192
177.115,14.4414402436013
177.6125,14.4584642208837
178.11,14.4754189978109
178.6075,14.4923043283619
179.105,14.5091199692525
179.6025,14.5258656799426
180.1,14.542541222639
180.5975,14.559146362302
181.095,14.5756808666476
181.5925,14.5921445061525
182.09,14.6085370540576
182.5875,14.6248582863705
183.085,14.6411079818698
183.5825,14.6572859221071
184.08,14.6733918914109
184.5775,14.6894256768862
185.075,14.7053870684202
185.5725,14.7212758586812
186.07,14.7370918431217
186.5675,14.7528348199801
187.065,14.7685045902805
187.5625,14.784100957835
188.06,14.7996237292439
188.5575,14.8150727138955
189.055,14.8304477239682
189.5525,14.8457485744288
190.05,14.8609750830337
190.5475,14.876127070327
191.045,14.8912043596417
191.5425,14.906206777098
192.04,14.9211341516028
192.5375,14.9359863148479
193.035,14.950763101309
193.5325,14.9654643482453
194.03,14.9800898956955
194.5275,14.9946395864778
195.025,15.0091132661874
195.5225,15.0235107831938
196.02,15.0378319886387
196.5175,15.0520767364328
197.015,15.0662448832542
197.5125,15.0803362885446
198.01,15.0943508145055
198.5075,15.1082883260967
199.005,15.122148691031
199.5025,15.135931779772
200,15.1496374655286
